Date,Open,High,Low,Close,Adj Close,Volume
2020-01-06,57.860001,58.209999,57.830002,58.209999,57.471237,67000
2020-01-07,58.209999,58.209999,58.000000,58.090000,57.352760,54700
2020-01-08,58.060001,58.369999,58.049999,58.230000,57.490986,65500
2020-01-09,58.430000,58.480000,58.310001,58.480000,57.737812,54500
2020-01-10,58.470001,58.599998,58.310001,58.310001,57.569969,172000
2020-01-13,58.490002,58.730000,58.389999,58.730000,57.984638,121700
2020-01-14,58.680000,58.750000,58.570000,58.599998,57.856285,92500
2020-01-15,58.549999,58.810001,58.549999,58.650002,57.905651,72500
2020-01-16,58.910000,59.060001,58.830002,59.049999,58.300579,73400
2020-01-17,59.060001,59.209999,59.049999,59.200001,58.448673,66500
2020-01-21,59.029999,59.049999,58.840000,58.919998,58.172226,101900
2020-01-22,59.029999,59.160000,58.900002,59.000000,58.251209,68100
2020-01-23,58.840000,58.959999,58.570000,58.959999,58.211720,56000
2020-01-24,59.000000,59.020000,58.419998,58.580002,57.836544,56400
2020-01-27,57.759998,57.950001,57.500000,57.700001,56.967712,97400
2020-01-28,57.880001,58.220001,57.830002,58.110001,57.372509,55400
2020-01-29,58.270000,58.400002,58.119999,58.119999,57.382378,34200
2020-01-30,57.700001,58.209999,57.650002,58.119999,57.382378,36400
2020-01-31,57.980000,57.980000,57.220001,57.380001,56.651772,73400
2020-02-03,57.430000,57.849998,57.430000,57.630001,56.898602,73400
2020-02-04,58.220001,58.439999,58.220001,58.369999,57.629208,46300
2020-02-05,58.689999,58.810001,58.660000,58.790001,58.043877,62400
2020-02-06,58.919998,58.980000,58.830002,58.970001,58.221596,44400
2020-02-07,58.810001,58.810001,58.570000,58.639999,57.895779,62900
2020-02-10,58.549999,58.880001,58.529999,58.880001,58.132736,41500
2020-02-11,59.180000,59.279999,59.040001,59.080002,58.330200,48700
2020-02-12,59.310001,59.410000,59.250000,59.410000,58.656010,33200
2020-02-13,59.119999,59.310001,59.009998,59.200001,58.448673,41400
2020-02-14,59.200001,59.290001,59.070000,59.220001,58.468422,46100
2020-02-18,59.000000,59.090000,58.869999,58.950001,58.201847,63900
2020-02-19,59.150002,59.320000,59.150002,59.259998,58.507908,58900
2020-02-20,59.130001,59.180000,58.650002,59.000000,58.251209,102500
2020-02-21,58.849998,58.849998,58.570000,58.669998,57.925396,64900
2020-02-24,57.160000,57.349998,56.950001,57.060001,56.335835,105300
2020-02-25,57.189999,57.200001,55.820000,55.930000,55.220173,116400
2020-02-26,56.130001,56.630001,55.900002,55.900002,55.190556,108400
2020-02-27,55.110001,55.599998,54.220001,54.220001,53.531879,136100
2020-02-28,52.990002,53.970001,52.660000,53.849998,53.166573,203900
2020-03-02,54.130001,55.279999,53.799999,55.270000,54.568554,134600
2020-03-03,55.419998,56.500000,54.279999,54.549999,53.857689,103300
2020-03-04,55.310001,56.000000,55.040001,56.000000,55.289288,58700
2020-03-05,55.110001,55.360001,54.430000,54.750000,54.055149,93200
2020-03-06,53.849998,54.160000,53.380001,54.119999,53.433140,154900
2020-03-09,51.500000,52.009998,49.169998,50.680000,50.036804,173800
2020-03-10,51.500000,52.360001,50.669998,52.360001,51.695480,198800
2020-03-11,51.279999,51.290001,49.799999,50.189999,49.553017,213000
2020-03-12,47.070000,48.000000,45.000000,45.599998,45.021271,344600
2020-03-13,47.599998,48.799999,46.009998,48.290001,47.677135,167500
2020-03-16,44.950001,46.220001,43.099998,45.080002,44.507874,259800
2020-03-17,45.000000,46.060001,44.209999,45.680000,45.100258,203200
2020-03-18,43.560001,44.599998,42.200001,43.349998,42.799831,245100
2020-03-19,42.770000,44.439999,42.740002,43.680000,43.125641,184200
2020-03-20,44.639999,44.790001,42.669998,42.709999,42.167953,345700
2020-03-23,42.630001,43.000000,41.849998,42.549999,42.009983,502100
2020-03-24,44.000000,45.360001,44.000000,45.130001,44.557240,151700
2020-03-25,45.439999,47.459999,45.200001,46.119999,45.534679,231800
2020-03-26,46.660000,48.310001,46.610001,48.160000,47.548786,298400
2020-03-27,46.990002,48.139999,46.610001,47.290001,46.689831,202700
2020-03-30,47.169998,48.090000,46.900002,47.840000,47.232845,157400
2020-03-31,47.779999,48.259998,47.340000,47.459999,46.857670,149700
2020-04-01,46.410000,46.869999,45.750000,46.009998,45.426071,223300
2020-04-02,45.680000,47.439999,45.630001,46.500000,46.072071,92100
2020-04-03,46.220001,46.590000,45.599998,46.099998,45.675751,116200
2020-04-06,47.299999,48.270000,47.209999,48.070000,47.627625,163800
2020-04-07,49.380001,49.410000,48.139999,48.400002,47.954586,139400
2020-04-08,48.669998,49.410000,48.240002,49.169998,48.717499,137400
2020-04-09,49.759998,50.450001,49.610001,49.840000,49.381336,213800
2020-04-13,49.709999,49.730000,49.009998,49.500000,49.044460,204100
2020-04-14,50.180000,50.590000,50.139999,50.540001,50.074894,91000
2020-04-15,49.560001,49.759998,49.290001,49.470001,49.014740,87900
2020-04-16,49.570000,49.779999,49.290001,49.610001,49.153450,80600
2020-04-17,50.599998,50.740002,50.150002,50.720001,50.253239,124400
2020-04-20,50.240002,50.700001,50.000000,50.090000,49.629036,178100
2020-04-21,49.750000,49.750000,48.889999,49.090000,48.638237,206300
2020-04-22,49.720001,49.939999,49.549999,49.810001,49.351612,96100
2020-04-23,49.970001,50.439999,49.689999,49.840000,49.381336,100700
2020-04-24,50.049999,50.419998,49.680000,50.220001,49.757835,92500
2020-04-27,50.540001,50.900002,50.389999,50.860001,50.391949,216400
